"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.html", "HTML", 0, 48, 0, 0, 0, 2, 50
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planet-detail.component.ts", "TypeScript", 25, 0, 0, 0, 0, 6, 31
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.css", "CSS", 0, 0, 38, 0, 0, 5, 43
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.html", "HTML", 0, 90, 0, 0, 6, 16, 112
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\planets\planets.component.ts", "TypeScript", 670, 0, 0, 0, 0, 37, 707
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.html", "HTML", 0, 36, 0, 0, 0, 1, 37
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\components\starships\starships.component.ts", "TypeScript", 32, 0, 0, 0, 0, 11, 43
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\people.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 19
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\planets.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 14
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\models\starships.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 18
"c:\Users\Austin Schroeders\Desktop\FusionAlliance\starWarsAPI\src\app\people.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 2, 8
"Total", "-", 1786, 337, 38, 5, 33, 270, 2469
